color,from,l,a,b,parent
杏仁黄,中国色名综览_凑幸卫,92.5816435,4.46535872,10.33785245,黄
谷黄,色谱_perchouli,74.963,8.371,77.288,黄
淡茧黄,色谱_perchouli,86.955,-0.348,54.505,黄
淡茧黄,中国色名综览_凑幸卫,94.88928882,4.902141391,32.06415627,黄
雅梨黄,色谱_perchouli,82.928,4.768,76.162,黄
雅梨黄,中国色名综览_凑幸卫,83.85807669,14.72428355,56.62135419,黄
淡蜜黄,色谱_perchouli,85.862,1.032,57.408,黄
芥黄,色谱_perchouli,70.412,8.292,72.11,黄
芥黄,中国色名综览_凑幸卫,66.67952473,1.386507464,55.25114766,黄
栀子黄,中国色名综览_凑幸卫,71.56626429,1.184966935,62.81944157,黄
篾黄,色谱_perchouli,89.058,-0.983,37.486,黄
炒米黄,染色样本士林类_何进丰,78,8,18,黄
琥珀黄,色谱_perchouli,79.733,12.612,81.392,黄
琥珀黄,中国颜色_黄仁达,62.719,14.765,40.748,黄
琥珀黄,中国美色_中国国家地理,62.719,14.765,40.748,黄
琥珀黄,中国传统色彩图鉴_鸿洋,56.92,28.821,43.308,黄
琥珀黄,中国色名综览_凑幸卫,84.92480304,17.11593936,69.53056386,黄
鼬黄,色谱_perchouli,78.804,13.348,80.34,黄
鸡蛋黄,中国色名综览_凑幸卫,81.33513087,23.83344854,58.22792999,黄
鹅掌黄,中国色名综览_凑幸卫,81.34816268,23.18472437,55.1385863,黄
麦芽糖黄,中国色名综览_凑幸卫,91.08188002,12.33901345,19.82456056,黄
橙皮黄,色谱_perchouli,73.675,24.798,77.48,黄
橙皮黄,中国色名综览_凑幸卫,76.52851792,28.71676471,80.27094103,黄
